essay_id,sample_size,expected_grade_index,consensus_grade,mean,median,delta_mean,delta_median,grade_std,majority_ratio,confidence
JP24,4,3.433886045669635,E+,3.75,4.0,-0.31611395433036504,-0.566113954330365,2.277608394786075,0.5,0.1249522946570857
LW24,8,4.647553759133845,D+,4.375,4.5,0.27255375913384494,0.14755375913384494,1.4947825928876748,0.375,0.2324893886405135
SN24,4,5.519182924377533,C-,5.25,5.5,0.26918292437753344,0.01918292437753344,0.82915619758885,0.5,0.3020579941783697
II24,5,7.834553580789421,B,7.6,8.0,0.234553580789421,-0.16544641921057934,0.4898979485566356,0.6,0.3686562719721497
ER24,4,6.0403297831625045,C-,6.25,6.0,-0.20967021683749554,0.04032978316250446,0.4330127018922193,0.75,0.3820888758424028
JF24,5,4.607352957579881,D+,4.8,5.0,-0.19264704242011899,-0.39264704242011916,0.9797958971132712,0.6,0.2942237007125113
JA24,6,8.495346234350999,B,8.666666666666666,9.0,-0.1713204323156674,-0.5046537656490013,0.4714045207910317,0.6666666666666666,0.3874301306943428
ES24,6,7.426477338472476,C+,7.333333333333333,7.0,0.093144005139143,0.42647733847247604,0.9428090415820634,0.5,0.3131736043804109
TK24,5,5.850789705678004,C-,5.8,6.0,0.050789705678004005,-0.14921029432199617,0.7483314773547882,0.4,0.3562456912466851
EK24,4,6.700509884004974,C+,6.75,7.0,-0.04949011599502562,-0.2994901159950256,1.299038105676658,0.5,0.2537840675529021
SA24,4,4.717134101015699,D+,4.75,5.0,-0.03286589898430137,-0.28286589898430137,0.4330127018922193,0.75,0.3775550760071653
HJ17,5,5.3779345704772,D+,5.4,5.0,-0.022065429522799995,0.37793457047720036,1.019803902718557,0.4,0.3041757805747869
