essay_id,sample_size,grade_std,grade_range,shannon_entropy,majority_ratio,consensus_grade,consensus_confidence
EK24,4,1.299038105676658,3.0,1.039720770836918,0.5,C+,0.16820833510284527
ER24,4,0.4330127018922193,1.0,0.5623351446168083,0.75,C-,0.39494155046200213
ES24,6,0.9428090415820634,3.0,1.2424533248900003,0.5,C+,0.3185207755111117
HJ17,5,1.019803902718557,3.0,1.3321790402061222,0.4,D+,0.2812046102834072
II24,5,0.48989794855663565,1.0,0.6730116670072565,0.6,B,0.3819901049161545
JA24,6,0.4714045207910317,1.0,0.6365141682928128,0.6666666666666666,A,0.4839507664385343
JF24,5,0.9797958971132712,3.0,0.9502705392302345,0.6,D+,0.30457636212676303
JP24,4,2.277608394786075,5.0,1.039720770836918,0.5,E+,0.0764226756200485
LW24,8,1.4947825928876748,4.0,1.4941751382843085,0.375,D+,0.20457954495409278
SA24,4,0.4330127018922193,1.0,0.5623351446168083,0.75,D+,0.3806877398889128
SN24,4,0.82915619758885,2.0,1.039720770836918,0.5,D+,0.28200814301108046
TK24,5,0.7483314773547882,2.0,1.0549201679831441,0.4,C-,0.3371506717798774
