essay_id,sample_size,grade_std,grade_range,shannon_entropy,majority_ratio,consensus_grade,consensus_confidence,neutral_ess,needs_more_ratings
EK24,4,1.299038105676658,3.0,1.039720770836918,0.5,C+,0.2537840675529021,0.0,False
ER24,4,0.4330127018922193,1.0,0.5623351446168083,0.75,C-,0.3820888758424028,0.0,False
ES24,6,0.9428090415820634,3.0,1.2424533248900003,0.5,C+,0.3131736043804109,0.0,False
HJ17,5,1.019803902718557,3.0,1.3321790402061222,0.4,D+,0.30417578057478695,0.0,False
II24,5,0.48989794855663565,1.0,0.6730116670072565,0.6,B,0.3686562719721497,0.0,False
JA24,6,0.4714045207910317,1.0,0.6365141682928128,0.6666666666666666,B,0.3874301306943428,0.0,False
JF24,5,0.9797958971132712,3.0,0.9502705392302345,0.6,D+,0.2942237007125113,0.0,False
JP24,4,2.277608394786075,5.0,1.039720770836918,0.5,E+,0.12495229465708577,0.0,False
LW24,8,1.4947825928876748,4.0,1.4941751382843085,0.375,D+,0.23248938864051352,0.0,False
SA24,4,0.4330127018922193,1.0,0.5623351446168083,0.75,D+,0.3775550760071653,0.0,False
SN24,4,0.82915619758885,2.0,1.039720770836918,0.5,C-,0.30205799417836976,0.0,False
TK24,5,0.7483314773547882,2.0,1.0549201679831441,0.4,C-,0.3562456912466851,0.0,False
