rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type,status
Kalle,1,JA24,A1,JA24,SA1711,student_anchor,core
Kalle,2,JA24,B1,JA24,SA1709,student_anchor,core
Kalle,3,JA24,A2,JA24,SA1712,student_anchor,core
Kalle,4,II24,B2,II24,SA1710,student_anchor,core
Kalle,5,II24,C+,II24,SA1708,student_anchor,core
Kalle,6,II24,A1,II24,SA1711,student_anchor,core
Kalle,7,ES24,C+,ES24,SA1708,student_anchor,core
Kalle,8,ES24,B1,ES24,SA1709,student_anchor,core
Kalle,9,ES24,C-,ES24,SA1707,student_anchor,core
Kalle,10,EK24,C+,EK24,SA1708,student_anchor,core
Anders,11,EK24,C-,EK24,SA1707,student_anchor,core
Anders,12,EK24,B2,EK24,SA1710,student_anchor,core
Anders,13,JA24,II24,JA24,II24,student_student,core
Anders,14,JA24,ES24,JA24,ES24,student_student,core
Anders,15,II24,ES24,II24,ES24,student_student,core
Anders,16,ES24,EK24,ES24,EK24,student_student,core
Anders,17,A1,A2,SA1711,SA1712,anchor_anchor,core
Anders,18,B1,A1,SA1709,SA1711,anchor_anchor,core
Anders,19,C+,B2,SA1708,SA1710,anchor_anchor,core
Anders,20,ER24,C-,ER24,SA1707,student_anchor,core
Pelle,21,ER24,C+,ER24,SA1708,student_anchor,core
Pelle,22,ER24,D+,ER24,SA1706,student_anchor,core
Pelle,23,TK24,C-,TK24,SA1707,student_anchor,core
Pelle,24,TK24,D+,TK24,SA1706,student_anchor,core
Pelle,25,TK24,C+,TK24,SA1708,student_anchor,core
Pelle,26,SN24,C-,SN24,SA1707,student_anchor,core
Pelle,27,SN24,D+,SN24,SA1706,student_anchor,core
Pelle,28,SN24,C+,SN24,SA1708,student_anchor,core
Pelle,29,HJ17,D+,HJ17,SA1706,student_anchor,core
Pelle,30,HJ17,D-,HJ17,SA1705,student_anchor,core
Johan,31,HJ17,C-,HJ17,SA1707,student_anchor,core
Johan,32,SA24,D+,SA24,SA1706,student_anchor,core
Johan,33,SA24,D-,SA24,SA1705,student_anchor,core
Johan,34,SA24,C-,SA24,SA1707,student_anchor,core
Johan,35,LW24,D+,LW24,SA1706,student_anchor,core
Johan,36,LW24,D-,LW24,SA1705,student_anchor,core
Johan,37,LW24,C-,LW24,SA1707,student_anchor,core
Johan,38,JF24,D+,JF24,SA1706,student_anchor,core
Johan,39,JF24,D-,JF24,SA1705,student_anchor,core
Johan,40,JF24,E+,JF24,SA1704,student_anchor,core
Olof,41,ER24,TK24,ER24,TK24,student_student,core
Olof,42,TK24,SN24,TK24,SN24,student_student,core
Olof,43,SN24,HJ17,SN24,HJ17,student_student,core
Olof,44,HJ17,SA24,HJ17,SA24,student_student,core
Olof,45,SA24,LW24,SA24,LW24,student_student,core
Olof,46,LW24,JF24,LW24,JF24,student_student,core
Olof,47,C-,D+,SA1707,SA1706,anchor_anchor,core
Olof,48,D+,D-,SA1706,SA1705,anchor_anchor,core
Olof,49,C+,C-,SA1708,SA1707,anchor_anchor,core
Olof,50,D-,E+,SA1705,SA1704,anchor_anchor,core
Ralf,51,EK24,ER24,EK24,ER24,student_student,core
Ralf,52,ER24,SN24,ER24,SN24,student_student,core
Ralf,53,HJ17,LW24,HJ17,LW24,student_student,core
Ralf,54,SA24,JF24,SA24,JF24,student_student,core
Ralf,55,JP24,E+,JP24,SA1704,student_anchor,core
Ralf,56,JP24,E-,JP24,SA1703,student_anchor,core
Ralf,57,JP24,D-,JP24,SA1705,student_anchor,core
Ralf,58,JP24,JF24,JP24,JF24,student_student,core
Ralf,59,JP24,LW24,JP24,LW24,student_student,core
Ralf,60,JP24,SA24,JP24,SA24,student_student,core
Ake,61,JF24,LW24,JF24,LW24,student_student,core
Ake,62,E+,E-,SA1704,SA1703,anchor_anchor,core
Ake,63,SA24,B2,SA24,SA1710,student_anchor,core
Ake,64,E-,F+1,SA1703,SA1701,anchor_anchor,core
Ake,65,F+1,F+2,SA1701,SA1702,anchor_anchor,core
Ake,66,JP24,F+2,JP24,SA1702,student_anchor,core
Ake,67,JA24,B2,JA24,SA1710,student_anchor,core
Ake,68,II24,B1,II24,SA1709,student_anchor,core
Ake,69,ES24,C+,ES24,SA1708,student_anchor,core
Ake,70,EK24,C-,EK24,SA1707,student_anchor,core
Lilly,71,ER24,C-,ER24,SA1707,student_anchor,core
Lilly,72,TK24,D+,TK24,SA1706,student_anchor,core
Lilly,73,SN24,D+,SN24,SA1706,student_anchor,core
Lilly,74,HJ17,D-,HJ17,SA1705,student_anchor,core
Lilly,75,SA24,D-,SA24,SA1705,student_anchor,core
Lilly,76,LW24,D-,LW24,SA1705,student_anchor,core
Lilly,77,JF24,E+,JF24,SA1704,student_anchor,core
Lilly,78,JP24,E-,JP24,SA1703,student_anchor,core
Lilly,79,C+,B1,SA1708,SA1709,anchor_anchor,core
Lilly,80,B1,B2,SA1709,SA1710,anchor_anchor,core
Tim,81,B2,A2,SA1710,SA1712,anchor_anchor,core
Tim,82,ER24,B1,ER24,SA1709,student_anchor,core
Tim,83,JA24,A2,JA24,SA1712,student_anchor,core
Tim,84,JP24,F+1,JP24,SA1701,student_anchor,core
Tim,85,ES24,B2,ES24,SA1710,student_anchor,extra
Tim,86,EK24,B1,EK24,SA1709,student_anchor,extra
Tim,87,ER24,B2,ER24,SA1710,student_anchor,extra
Tim,88,TK24,B1,TK24,SA1709,student_anchor,extra
Tim,89,SN24,B2,SN24,SA1710,student_anchor,extra
Tim,90,JP24,B1,JP24,SA1709,student_anchor,extra
Jean,91,C+,B1,SA1708,SA1709,anchor_anchor,extra
Jean,92,B2,A1,SA1710,SA1711,anchor_anchor,extra
Jean,93,D+,C-,SA1706,SA1707,anchor_anchor,extra
Jean,94,SA24,B1,SA24,SA1709,student_anchor,extra
Jean,95,JA24,C+,JA24,SA1708,student_anchor,extra
Jean,96,II24,B1,II24,SA1709,student_anchor,extra
Jean,97,ES24,A1,ES24,SA1711,student_anchor,extra
Jean,98,ER24,B2,ER24,SA1710,student_anchor,extra
Jean,99,JA24,B2,JA24,SA1710,student_anchor,extra
Jean,100,II24,A2,II24,SA1712,student_anchor,extra
