student_id,core_anchor_count,core_distinct_anchors,core_anchor_ids,extra_anchor_count,extra_anchor_ids,extra_pair_ids
EK24,4,3,B2;C+;C-,3,A1;B1,106;120;86
ER24,5,4,B1;C+;C-;D+,5,A1;A2;B1;B2,115;121;139;87;98
ES24,4,3,B1;C+;C-,5,A1;A2;B2,103;125;133;85;97
HJ17,4,3,C-;D+;D-,4,B1;B2,107;111;118;136
II24,4,4,A1;B1;B2;C+,4,A2;B1;B2,100;102;124;96
JA24,5,4,A1;A2;B1;B2,5,A2;B1;B2;C+;C-,101;123;137;95;99
JF24,4,3,D+;D-;E+,4,B1;B2;C+,109;112;114;130
JP24,6,5,D-;E+;E-;F+1;F+2,7,B1;B2;C+;C-,119;122;126;127;128;138;90
LW24,4,3,C-;D+;D-,3,B1;B2;C+,108;113;129
SA24,5,4,B2;C-;D+;D-,2,B1;B2,110;94
SN24,4,3,C+;C-;D+,4,B1;B2,104;117;135;89
TK24,4,3,C+;C-;D+,3,A1;B1;B2,105;116;88
